# Serializing assets/vocabularies/measurement-unit/latest/measurement-unit.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/measurement-unit
# title: Measurement unit
# version: 20201216-0
# description: Measurement unit
key,url,deprecated,valid_from,country_code,label_en,label_it
2N,http://publications.europa.eu/resource/authority/measurement-unit/2N,false,1952-07-23,2N,decibel,decibel
3C,http://publications.europa.eu/resource/authority/measurement-unit/3C,false,1952-07-23,3C,manmonth,uomo-mese
AD,http://publications.europa.eu/resource/authority/measurement-unit/AD,false,1952-07-23,AD,byte,byte
AMP,http://publications.europa.eu/resource/authority/measurement-unit/AMP,false,1952-07-23,AMP,ampere,ampère
BAR,http://publications.europa.eu/resource/authority/measurement-unit/BAR,false,1952-07-23,BAR,bar,bar
BIT,http://publications.europa.eu/resource/authority/measurement-unit/BIT,false,1952-07-23,BIT,bit,bit
BQL,http://publications.europa.eu/resource/authority/measurement-unit/BQL,false,1952-07-23,BQL,becquerel,becquerel
C34,http://publications.europa.eu/resource/authority/measurement-unit/C34,false,1952-07-23,C34,mole,mole
C45,http://publications.europa.eu/resource/authority/measurement-unit/C45,false,1952-07-23,C45,nanometre,nanometro
CDL,http://publications.europa.eu/resource/authority/measurement-unit/CDL,false,1952-07-23,CDL,candela,candela
CEL,http://publications.europa.eu/resource/authority/measurement-unit/CEL,false,1952-07-23,CEL,degree Celsius,grado centigrado
CMK,http://publications.europa.eu/resource/authority/measurement-unit/CMK,false,1952-07-23,CMK,square centimetre,centimetro quadrato
CMQ,http://publications.europa.eu/resource/authority/measurement-unit/CMQ,false,1952-07-23,CMQ,cubic centimetre,centimetro cubo
CMT,http://publications.europa.eu/resource/authority/measurement-unit/CMT,false,1952-07-23,CMT,centimetre,centimetro
D30,http://publications.europa.eu/resource/authority/measurement-unit/D30,false,1952-07-23,D30,terajoule,terajoule
