# Serializing assets/vocabularies/corporate-body-classification/latest/corporate-body-classification.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/corporate-body-classification
# title: Corporate body classification
# version: 20210929-0
# description: Corporate body classification
key,url,deprecated,valid_from,country_code,label_en,label_it
AGENCY_CFSP,http://publications.europa.eu/resource/authority/corporate-body-classification/AGENCY_CFSP,false,2002-01-01,AGENCY_CFSP,Common foreign and security policy agency,Agenzia per la politica estera e di sicurezza comune
AGENCY_DEC,http://publications.europa.eu/resource/authority/corporate-body-classification/AGENCY_DEC,false,1994-09-01,AGENCY_DEC,Decentralised agency,Agenzia decentrata
AGENCY_EURATOM,http://publications.europa.eu/resource/authority/corporate-body-classification/AGENCY_EURATOM,false,1958-12-06,AGENCY_EURATOM,Euratom agency,Agenzia dell’Euratom
AGENCY_EXEC,http://publications.europa.eu/resource/authority/corporate-body-classification/AGENCY_EXEC,false,2014-12-17,AGENCY_EXEC,Executive agency,Agenzia esecutiva
AGENCY_OTHER,http://publications.europa.eu/resource/authority/corporate-body-classification/AGENCY_OTHER,false,2007-01-01,AGENCY_OTHER,Other agency,Altra agenzia
CB,http://publications.europa.eu/resource/authority/corporate-body-classification/CB,false,1951-01-01,CB,Corporate body,Persona giuridica
CB_EU,http://publications.europa.eu/resource/authority/corporate-body-classification/CB_EU,false,1951-01-01,CB_EU,European Union corporate body,Persona giuridica dell’Unione europea
CB_INT,http://publications.europa.eu/resource/authority/corporate-body-classification/CB_INT,false,1900-01-01,CB_INT,International organisation,Organizzazione internazionale
CB_OTHER,http://publications.europa.eu/resource/authority/corporate-body-classification/CB_OTHER,false,2012-08-30,CB_OTHER,Other organisation,Altra organizzazione
CMT_MIX,http://publications.europa.eu/resource/authority/corporate-body-classification/CMT_MIX,false,1957-03-25,CMT_MIX,Joint committee,Comitato misto
COR_COM,http://publications.europa.eu/resource/authority/corporate-body-classification/COR_COM,false,1994-03-09,COR_COM,COR commission,Commissione CdR
COR_DIR,http://publications.europa.eu/resource/authority/corporate-body-classification/COR_DIR,false,2012-01-01,COR_DIR,COR directorate,Direzione CdR
COR_GROUP,http://publications.europa.eu/resource/authority/corporate-body-classification/COR_GROUP,false,1994-03-09,COR_GROUP,COR group,Gruppo CdR
COUN_ASS,http://publications.europa.eu/resource/authority/corporate-body-classification/COUN_ASS,false,1957-03-25,COUN_ASS,Association council,Consiglio di associazione
COUN_COOP,http://publications.europa.eu/resource/authority/corporate-body-classification/COUN_COOP,false,1958-01-01,COUN_COOP,Cooperation council,Consiglio di cooperazione
COUN_STAB_ASS,http://publications.europa.eu/resource/authority/corporate-body-classification/COUN_STAB_ASS,false,2009-12-01,COUN_STAB_ASS,Stabilisation and association council,Consiglio di stabilizzazione e di associazione
DEL,http://publications.europa.eu/resource/authority/corporate-body-classification/DEL,false,1960-01-01,DEL,Delegation,Delegazione
DIR,http://publications.europa.eu/resource/authority/corporate-body-classification/DIR,false,1958-01-01,DIR,Directorate,Direzione
DIR_GEN,http://publications.europa.eu/resource/authority/corporate-body-classification/DIR_GEN,false,1958-01-01,DIR_GEN,Directorate-general,Direzione generale
EP_AP,http://publications.europa.eu/resource/authority/corporate-body-classification/EP_AP,false,1952-07-23,EP_AP,Delegation to a parliamentary assembly,
EP_CE,http://publications.europa.eu/resource/authority/corporate-body-classification/EP_CE,false,1958-03-19,EP_CE,EP committee of inquiry,
EP_CJ,http://publications.europa.eu/resource/authority/corporate-body-classification/EP_CJ,false,1958-03-19,EP_CJ,EP joint committee,
EP_CMT,http://publications.europa.eu/resource/authority/corporate-body-classification/EP_CMT,false,1958-03-19,EP_CMT,EP parliamentary committee,Commissione parlamentare PE
EP_CT,http://publications.europa.eu/resource/authority/corporate-body-classification/EP_CT,false,1958-03-19,EP_CT,EP special committee,
EP_DE,http://publications.europa.eu/resource/authority/corporate-body-classification/EP_DE,false,1952-07-23,EP_DE,Interparliamentary delegation,
EP_DEL,http://publications.europa.eu/resource/authority/corporate-body-classification/EP_DEL,false,1952-07-23,EP_DEL,EP delegation,
EP_DIR_GEN,http://publications.europa.eu/resource/authority/corporate-body-classification/EP_DIR_GEN,false,1952-07-23,EP_DIR_GEN,EP directorate-general,Direzione generale PE
EP_DM,http://publications.europa.eu/resource/authority/corporate-body-classification/EP_DM,false,1952-07-23,EP_DM,Delegation to a joint committee,
EP_GROUP,http://publications.europa.eu/resource/authority/corporate-body-classification/EP_GROUP,false,1958-01-01,EP_GROUP,EP political group,Gruppo politico PE
EP_IG,http://publications.europa.eu/resource/authority/corporate-body-classification/EP_IG,false,1952-07-23,EP_IG,Intergroup,
EP_POLBODY,http://publications.europa.eu/resource/authority/corporate-body-classification/EP_POLBODY,false,1952-07-23,EP_POLBODY,EP political body,
EP_SC,http://publications.europa.eu/resource/authority/corporate-body-classification/EP_SC,false,1958-03-19,EP_SC,EP subcommittee,
EU_AGENCY,http://publications.europa.eu/resource/authority/corporate-body-classification/EU_AGENCY,false,1958-12-06,EU_AGENCY,EU agency,Agenzia dell’UE
EU_BODY,http://publications.europa.eu/resource/authority/corporate-body-classification/EU_BODY,false,1951-01-01,EU_BODY,EU body,Organo dell’UE
EU_INST,http://publications.europa.eu/resource/authority/corporate-body-classification/EU_INST,false,1951-01-01,EU_INST,EU institution,Istituzione dell’UE
EU_INTERINSTSERV,http://publications.europa.eu/resource/authority/corporate-body-classification/EU_INTERINSTSERV,false,1968-12-31,EU_INTERINSTSERV,EU interinstitutional service,Servizio interistituzionale dell’UE
EU_JU,http://publications.europa.eu/resource/authority/corporate-body-classification/EU_JU,false,2007-02-27,EU_JU,EU joint undertaking,Impresa comune dell’UE
INF_OFF,http://publications.europa.eu/resource/authority/corporate-body-classification/INF_OFF,false,1958-01-01,INF_OFF,Information office,Ufficio d’informazione
LIA_OFF,http://publications.europa.eu/resource/authority/corporate-body-classification/LIA_OFF,false,2018-07-01,LIA_OFF,Liaison office,Ufficio di collegamento
NP,http://publications.europa.eu/resource/authority/corporate-body-classification/NP,false,1900-01-01,NP,National party,
OP_DATPRO,http://publications.europa.eu/resource/authority/corporate-body-classification/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori
REPRES,http://publications.europa.eu/resource/authority/corporate-body-classification/REPRES,false,1958-01-01,REPRES,Representation,Rappresentanza
SERV_DEP,http://publications.europa.eu/resource/authority/corporate-body-classification/SERV_DEP,false,1983-02-01,SERV_DEP,Service,Servizio
