# Serializing assets/vocabularies/position-status/latest/position-status.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/position-status
# title: Position status
# version: 20201216-0
# description: Position status
key,url,deprecated,valid_from,country_code,label_en,label_it
ACTING,http://publications.europa.eu/resource/authority/position-status/ACTING,false,2009-12-01,ACTING,Acting,Facente funzioni
AFF,http://publications.europa.eu/resource/authority/position-status/AFF,false,2009-12-01,AFF,Assignment,Assegnazione
AI,http://publications.europa.eu/resource/authority/position-status/AI,false,2009-12-01,AI,Ad Interim,Facente funzioni
DIS,http://publications.europa.eu/resource/authority/position-status/DIS,false,2009-12-01,DIS,Placed at the disposal,Messo a disposizione
DISDL,http://publications.europa.eu/resource/authority/position-status/DISDL,false,2009-12-01,DISDL,Placed at disposal in a delegation,Messo a disposizione di una delegazione
HDR,http://publications.europa.eu/resource/authority/position-status/HDR,false,2009-12-01,HDR,Handover,Passaggio delle consegne
OCUP_NO,http://publications.europa.eu/resource/authority/position-status/OCUP_NO,false,2009-12-01,OCUP_NO,Not occupied,Non occupato
OCUP_SECOM,http://publications.europa.eu/resource/authority/position-status/OCUP_SECOM,false,2009-12-01,OCUP_SECOM,Occupation during a secondment in the institution,Occupazione durante un distaccamento presso l’istituzione
OP_DATPRO,http://publications.europa.eu/resource/authority/position-status/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori
REPL_TEMP,http://publications.europa.eu/resource/authority/position-status/REPL_TEMP,false,2009-12-01,REPL_TEMP,Temporary replacement,Sostituzione temporanea
RESV,http://publications.europa.eu/resource/authority/position-status/RESV,false,2009-12-01,RESV,Reserved,Riservato
